category,subcategory
소파,일반소파
,빈백소파
,좌식소파
,소파베드
,소파스툴
침대,일반형침대
,수납형침대
,패밀리침대
,이층침대
책상,일반책상
,좌식책상
,스탠딩책상
주방가구,식탁
,홈바/아일랜드식탁
,식탁/주방의자
,주방수납
,레인지대
학생/서재가구,책상
,책장
,학생/오피스의자
,오피스수납용품
수납가구,선반
,수납장
,진열장/장식장
테이블,좌식테이블
,사이드테이블
,접이식테이블
,아웃도어테이블
의자/스툴,일반의자
,좌식의자
,안락의자/흔들의자
,스툴
,벤치
,발받침
유아동가구,유아동책상/테이블
,유아동 수납
,유아동소파/의자
,유아동침대
,유아동놀이가구외
침구,침구세트
,차렵이불
,이불커버
,이불솜
,요/토퍼
,배개커버/솜
,바디필로우/롱쿠션
,매트리스커버
,홑이불/겹이불
,패드/스프레드
커튼/블라인드,암막커튼
,일반커튼
,레이스/속커튼
,블라인드/롤스크린
,가리개커튼
,바란스/주방커튼
,커튼부자재
,캐노피
카페트/러그,러그
,샤기카페트
,페르시안카페트
,면/라탄/핸드메이드
,발매트
,주방/다용도매트
,PVC/사이잘룩
,놀이/안전매트
,피크닉매트
,원목/대자리/쿨매트
쿠션/방석,쿠션
,방석/대방석
,쿠션/방석솜
홈패브릭,담요/블랭킷
,실내화
,소파패드
,소파커버
,홈웨어
,선풍기/에어컨커버
,티슈커버
,기타
주방패브릭,식탁보/러너
,테이블매트
,앞치마/주방장갑외
,행주/티타올
,기타
공예/취미,털실/뜨개도구
,자수/자수도구
,위빙/위빙도구
,원단
,패턴
,기타수예용품
유아용패브릭,침구
,러그/카페트
,패브릭소품
조명,공간별조명
,LED평판등
,팬던트등/포인트조명
,레일조명
,장스탠드
,단스탠드
,데스크스탠드
,벽조명
,무드등/장식조명
,매입등/센서등
,형광등/조명부속품
시계,벽시계
,알람/탁상시계
,욕실방수시계
,타이머/스탑워치
플라워/식물,식물
,조화
,플라워
,리스/가랜드
,화병/화분
,부케/화관/웨딩
,기타가드닝용품
홈겔러리,액자
,패브릭포스터
,그림/사진
월데코/장식,데코스티커
,마크라메
,드림/썬케쳐
,기타
캔들/디퓨져,캔들
,디퓨져
,홈퍼퓸/샤쉐
,향/인센스
,석고방향제
,캔들홀더/워머
,기타엑세서리
장식용품,트레이/보석함
,미니어쳐/DIY
,모빌/가랜드
,장식인형
,마그넷/도어벨
,워터볼
,오르골
,도어사인
,파티/이벤트용품
,기타장식용품
데스크/디자인용품,디자인문구
,데스크테리어
,디지털/핸드폰
,기타디자인용품
크리스마스,트리
,조명
,장식소품
주방가전,냉장고
,전기주전자
,에어프라이어
,토스터/홈베이킹
,전기그릴
,멀티쿠커
,블랜더/믹서
,오븐/전자레인지
,가스레인지/인덕션
,전기밥솥
,커피메이커/머신
,기타
생활가전,세탁기/건조기/의류관리기
,미싱/다리미
,멀티탭
,건강가전/비데
,기타
청소가전,일반청소기
,로봇청소기
,침구청소기
,스팀청소기
,물걸레청소기
이미용가전,드라이기
,고데기/매직기
,면도기/제모기
,전동칫솔/칫솔살균기
,이미용기타
음향/양상가전,프로젝터
,TV/모니터
,스피커/라디오
,턴테이블/CDP
,이어폰/헤드셋
,PC엑세서리
계절가전,공기청정기
,선풍기
,제습기
,에어컨
,가습기
,온열매트/온수매트
,전기히터/온풍기
,기타
렌탈,정수기
,비데
,공기청정기
,주방가전
,생활가전
,매트리스/프레임
수납장/서랍장,플라스틱서랍장
,이동식정리함/트롤리
,공간박스
리빙박스/수납함,리빙박스
,수납정리함
,기타수납/정리용품
바구니/바스켓,수납바스켓
,라틴바스켓
,빨래바구니/보관함
,소품트레이
행거,스탠드행거
,이동식행거
,고정식행거
선반,벽선반
,스탠드선반
,세탁기선반
옷걸이/옷정리,옷걸이/바지걸이
,서랍칸막이/수납함
,속옷정리함
,옷커버/압축팩
,후크/수납걸이
화장대/테이블정리,화장품정리용품
,쥬얼리정리용품
,소품정리/거치대
현관/신발정리,신발장/정리대
,신발수납함/슈즈렉
,우산꽂이
,실내화거치대